dataset,algorithm,variant,seed,hyperparameters,accuracy,f1_score,fit_time,predict_time,total_time_seconds,train_size,series_length,num_classes
HouseTwenty,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9663865546218487,0.9653061224489796,15.855050802230835,8.755118131637573,24.610168933868408,40,2000,2
HouseTwenty,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.957983193277311,0.9564963076698105,15.783068656921387,8.700464248657227,24.483532905578613,40,2000,2
InsectEPGSmallTrain,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9799196787148594,0.9738081037195693,14.639256238937378,7.328186750411987,21.967442989349365,17,601,3
InsectEPGSmallTrain,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9799196787148594,0.9738081037195693,14.91218376159668,8.070446491241455,22.982630252838135,17,601,3
InsectEPGSmallTrain,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9839357429718876,0.9771856495994428,14.487366676330566,7.309324026107788,21.796690702438354,17,601,3
ItalyPowerDemand,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9698736637512148,0.9698736637512148,13.418614864349365,5.349936246871948,18.768551111221313,67,24,2
ItalyPowerDemand,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9689018464528668,0.9689018170828454,13.648828029632568,5.378142833709717,19.026970863342285,67,24,2
ItalyPowerDemand,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9689018464528668,0.9689018170828454,13.506700038909912,5.484064817428589,18.9907648563385,67,24,2
Rock,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9,0.8933441558441558,15.501893997192383,7.143531322479248,22.64542531967163,20,2844,4
Rock,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9,0.8933441558441558,15.711780309677124,7.177932024002075,22.8897123336792,20,2844,4
Rock,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9,0.8933441558441558,15.309369564056396,7.311534643173218,22.620904207229614,20,2844,4
SmoothSubspace,Rocket,ROCKET_Standard,0,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.9733333333333334,0.973327997865813,13.691589593887329,4.648200035095215,18.339789628982544,150,15,3
SmoothSubspace,Rocket,ROCKET_Standard,1,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.98,0.9799960388195683,13.764609813690186,4.675177097320557,18.439786911010742,150,15,3
SmoothSubspace,Rocket,ROCKET_Standard,2,"{""num_kernels"": 10000, ""n_jobs"": -1}",0.98,0.9799960388195683,13.20307731628418,4.58745813369751,17.79053544998169,150,15,3
Crop,Arsenal,Arsenal_Standard,0,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.7377380952380952,0.7292720912880611,513.0942847728729,66.33719182014465,579.4314765930176,7200,46,24
Crop,Arsenal,Arsenal_Standard,1,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.7374404761904761,0.7290815308412514,507.1819837093353,66.64341115951538,573.8253948688507,7200,46,24
Crop,Arsenal,Arsenal_Standard,2,"{""n_estimators"": 25, ""num_kernels"": 2000, ""n_jobs"": -1}",0.7382142857142857,0.7298809589369405,506.72156953811646,67.4363284111023,574.1578979492188,7200,46,24
